payment_id,policy_id,payment_date,payment_amount,payment_method
1,1,2021-03-29,487.41,Check
2,1,2021-04-29,487.41,Debit Card
3,1,2021-05-29,487.41,Debit Card
4,1,2021-06-29,1462.22,Credit Card
5,1,2021-07-29,487.41,Credit Card
6,1,2021-08-29,487.41,Check
7,1,2021-09-29,487.41,Credit Card
8,1,2021-10-29,487.41,Credit Card
9,2,2023-12-16,175.74,Debit Card
10,2,2024-01-16,175.74,Bank Transfer
11,2,2024-02-16,175.74,Credit Card
12,2,2024-03-16,527.22,Check
13,2,2024-04-16,175.74,Bank Transfer
14,2,2024-05-16,175.74,Bank Transfer
15,2,2024-06-16,175.74,Credit Card
16,2,2024-07-16,175.74,Check
17,2,2024-08-16,175.74,Debit Card
18,2,2024-09-16,175.74,Bank Transfer
19,2,2024-10-16,175.74,Credit Card
20,2,2024-11-16,175.74,Check
21,2,2024-12-16,175.74,Credit Card
22,2,2025-01-16,527.22,Bank Transfer
23,2,2025-02-16,175.74,Credit Card
24,2,2025-03-16,175.74,Credit Card
25,2,2025-04-16,175.74,Check
26,2,2025-05-16,175.74,Bank Transfer
27,2,2025-06-16,175.74,Bank Transfer
28,2,2025-07-16,175.74,Check
29,2,2025-08-16,175.74,Credit Card
30,2,2025-09-16,175.74,Bank Transfer
31,2,2025-10-16,175.74,Check
32,2,2025-11-16,527.22,Check
33,3,2022-02-23,97.76,Credit Card
34,3,2022-03-23,293.28,Bank Transfer
35,3,2022-04-23,97.76,Debit Card
36,3,2022-05-23,293.28,Credit Card
37,3,2022-06-23,97.76,Credit Card
38,3,2022-07-23,97.76,Credit Card
39,3,2022-08-23,97.76,Debit Card
40,3,2022-09-23,97.76,Check
41,3,2022-10-23,97.76,Credit Card
42,3,2022-11-23,293.28,Debit Card
43,3,2022-12-23,97.76,Bank Transfer
44,3,2023-01-23,97.76,Credit Card
45,3,2023-02-23,97.76,Credit Card
46,3,2023-03-23,293.28,Debit Card
47,3,2023-04-23,97.76,Check
48,3,2023-05-23,97.76,Credit Card
49,3,2023-06-23,293.28,Debit Card
50,3,2023-07-23,97.76,Credit Card
51,3,2023-08-23,97.76,Check
52,3,2023-09-23,97.76,Debit Card
53,3,2023-10-23,97.76,Check
